Sample,Site,Adapter,apo.sym,sex
SA5,Sarasota,3_6_Wuitchik_Lane3_S21_L007_R1_001_CTAC.trim.bt2.bam,,
SA11*,Sarasota,3_7_Wuitchik_Lane3_S22_L007_R1_001_CTAC.trim.bt2.bam,,
SA 13,Sarasota,3_7_Wuitchik_Lane3_S22_L007_R1_001_TCAC.trim.bt2.bam,,
TP9,Texas_Packery,10_Astrangia_Pool_2_S2_L007_R1_001_ACCA.trim,,
P14*,Texas_Packery,10_Astrangia_Pool_2_S2_L007_R1_001_AGTG.trim,,
P9,Texas_Packery,10_Astrangia_Pool_2_S2_L007_R1_001_CATC.trim,,
P13*,Texas_Packery,10_Astrangia_Pool_2_S2_L007_R1_001_CTAC.trim,,
P6**,Texas_Packery,11_Astrangia_Pool_2_S3_L007_R1_001_CTAC.trim,,
P10*,Texas_Packery,11_Astrangia_Pool_2_S3_L007_R1_001_GACT.trim,,
P1,Texas_Packery,11_Astrangia_Pool_2_S3_L007_R1_001_GTGA.trim,,
P16 ***,Texas_Packery,11_Astrangia_Pool_2_S3_L007_R1_001_TGTC.trim,,
P12*,Texas_Packery,12_Astrangia_Pool_2_S4_L007_R1_001_ACCA.trim,,
P16 ***,Texas_Packery,12_Astrangia_Pool_2_S4_L007_R1_001_TGTC.trim,,
P11*,Texas_Packery,15_Astrangia_Pool_2_S7_L007_R1_001_CTAC.trim,,
TP2,Texas_Packery,16_Astrangia_Pool_2_S8_L007_R1_001_AGTG.trim,,
TP7,Texas_Packery,1-Astrangia_Pool_1_S1_L008_R1_001_ACCA.trim,,
P15**,Texas_Packery,1-Astrangia_Pool_1_S1_L008_R1_001_CATC.trim,,
P11*,Texas_Packery,1-Astrangia_Pool_1_S1_L008_R1_001_CTAC.trim,,
P3,Texas_Packery,2-Astrangia_Pool_1_S2_L008_R1_001_CTAC.trim,,
P11*,Texas_Packery,3_3_Wuitchik_Lane3_S18_L007_R1_001_CTAC.trim.bt2.bam,,
P12*,Texas_Packery,3_4_Wuitchik_Lane3_S19_L007_R1_001_ACCA.trim.bt2.bam,,
TP2,Texas_Packery,3-Astrangia_Pool_1_S3_L008_R1_001_AGTG.trim,,
TP8,Texas_Packery,5-Astrangia_Pool_1_S5_L008_R1_001_GACT.trim,,
P4,Texas_Packery,5-Astrangia_Pool_1_S5_L008_R1_001_TCAG.trim,,
P5,Texas_Packery,7-Astrangia_Pool_1_S7_L008_R1_001_CTAC.trim,,
